time (s),position (m),speed (m/s)
0.1,0.0075000000000000015,0.07500000000000001
0.2,0.022500000000000006,0.15000000000000002
0.30000000000000004,0.04500000000000001,0.22500000000000003
0.4,0.07500000000000001,0.30000000000000004
0.5,0.11250000000000002,0.37500000000000006
0.6,0.15750000000000003,0.45000000000000007
0.7,0.21000000000000005,0.5250000000000001
0.7999999999999999,0.2700000000000001,0.6000000000000001
0.8999999999999999,0.3375000000000001,0.675
0.9999999999999999,0.4125000000000001,0.75
1.0999999999999999,0.4950000000000001,0.825
1.2,0.5850000000000001,0.8999999999999999
1.3,0.6825000000000001,0.9749999999999999
1.4000000000000001,0.7875000000000001,1.0499999999999998
1.5000000000000002,0.9000000000000001,1.1249999999999998
1.6000000000000003,1.02,1.1999999999999997
1.7000000000000004,1.1475,1.2749999999999997
1.8000000000000005,1.2825,1.3499999999999996
1.9000000000000006,1.4249999999999998,1.4249999999999996
2.0000000000000004,1.5749999999999997,1.4999999999999996
2.1000000000000005,1.7324999999999997,1.5749999999999995
2.2000000000000006,1.8974999999999997,1.6499999999999995
2.3000000000000007,2.07,1.7249999999999994
2.400000000000001,2.25,1.7999999999999994
2.500000000000001,2.4375,1.8749999999999993
2.600000000000001,2.6325,1.9499999999999993
2.700000000000001,2.835,2.0249999999999995
2.800000000000001,3.045,2.0999999999999996
2.9000000000000012,3.2624999999999997,2.175
3.0000000000000013,3.4875,2.25
3.1000000000000014,3.7199999999999998,2.325
3.2000000000000015,3.96,2.4000000000000004
3.3000000000000016,4.2075,2.4750000000000005
3.4000000000000017,4.4624999999999995,2.5500000000000007
3.5000000000000018,4.725,2.625000000000001
3.600000000000002,4.995,2.700000000000001
3.700000000000002,5.2725,2.7750000000000012
3.800000000000002,5.5575,2.8500000000000014
3.900000000000002,5.8500000000000005,2.9250000000000016
4.000000000000002,6.15,3.0000000000000018
4.100000000000001,6.4575000000000005,3.075000000000002
4.200000000000001,6.772500000000001,3.150000000000002
4.300000000000001,7.095000000000001,3.2250000000000023
4.4,7.425000000000001,3.3000000000000025
4.5,7.762500000000001,3.3750000000000027
4.6,8.107500000000002,3.450000000000003
4.699999999999999,8.460000000000003,3.525000000000003
4.799999999999999,8.820000000000004,3.600000000000003
4.899999999999999,9.187500000000004,3.6750000000000034
4.999999999999998,9.562500000000004,3.7500000000000036
5.099999999999998,9.945000000000004,3.8250000000000037
5.1999999999999975,10.335000000000004,3.900000000000004
5.299999999999997,10.732500000000005,3.975000000000004
5.399999999999997,11.137500000000006,4.050000000000004
5.4999999999999964,11.550000000000006,4.125000000000004
5.599999999999996,11.970000000000006,4.200000000000005
5.699999999999996,12.397500000000006,4.275000000000005
